Date : 2026-03-24 14:03:59
Directory : c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app
Total : 64 files,  26080 codes, 42 comments, 145 blanks, all 26267 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |         12 |     24,526 |          0 |          1 |     24,527 |
| Dart     |         52 |      1,554 |         42 |        144 |      1,740 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\quran\presentation\widgets\quran_details_sheet.dart                         | Dart     |          7 |          1 |          3 |         11 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\sunan_mahjoura\data\sunan_data.dart                                         | Dart     |          4 |          1 |          2 |          7 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\sunan_mahjoura\presentation\pages\sunan_list_page.dart                      | Dart     |          6 |          0 |          0 |          6 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\tasmi_onboarding_page.dart                         | Dart     |         -1 |          0 |          0 |         -1 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\tasmi_page.dart                                    | Dart     |         -5 |          0 |          2 |         -3 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\tasmi_surah_selection_page.dart                    | Dart     |          4 |          0 |         -1 |          3 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\ayah_range_bottom_sheet.dart               | Dart     |         -1 |          0 |          0 |         -1 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\surah_list_item.dart                       | Dart     |          1 |          0 |          0 |          1 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\tasmi_action_button.dart                   | Dart     |          1 |          0 |          0 |          1 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\tasmi_correction_bubble.dart               | Dart     |          2 |          0 |          0 |          2 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\tasmi_listening_indicator.dart             | Dart     |          1 |          0 |          0 |          1 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\tasmi_page_header.dart                     | Dart     |          2 |          0 |          1 |          3 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\tasmi_selection_header.dart                | Dart     |          6 |          0 |          1 |          7 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\tasmi_stats_row.dart                       | Dart     |         -1 |          0 |          0 |         -1 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\wird\presentation\riverpod\wird_controller.dart                             | Dart     |          2 |          5 |          1 |          8 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\wird\presentation\widgets\wird_card.dart                                    | Dart     |         37 |          0 |          0 |         37 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\main.dart                                                                            | Dart     |          8 |          1 |          2 |         11 |
| Total                                                                                                                                         |          |     26,080 |         42 |        145 |     26,267 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
